week,weekly_trimp,acute_7d,chronic_28d,ac_ratio
2025-06-03,19.366666666666667,19.366666666666667,88.34166666666665,0.21922460145269318
2025-06-10,6.333333333333333,6.333333333333333,78.41249999999998,0.08076943514533186
2025-07-08,48.983333333333334,48.983333333333334,64.3125,0.7616456106252025
2025-07-15,79.36666666666667,79.36666666666667,38.512499999999996,2.0608027696635296
2025-07-22,131.1,131.1,66.44583333333333,1.9730356806922933
2025-07-29,45.08333333333333,45.08333333333333,76.13333333333333,0.5921628721541156
2025-08-05,58.03333333333333,58.03333333333333,78.39583333333333,0.7402604305075737
2025-08-12,203.96666666666664,203.96666666666664,109.54583333333332,1.8619299380015975
2025-08-19,144.65,144.65,112.93333333333331,1.2808441558441561
2025-08-26,124.60000000000002,124.60000000000002,132.8125,0.9381647058823531
